CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
20,Male,0,Yes,No,19,No,No,DSL,Yes,No,Yes,No internet service,No,No internet service,Two Year,No,Mailed check,84.5441430147548,7918.410031802903,0
21,Female,0,No,Yes,70,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,No internet service,Yes,One Year,No,Credit card (automatic),54.623536340042605,6584.045680184592,0
22,Male,0,No,Yes,10,No,Yes,DSL,No,No internet service,No internet service,No,No internet service,Yes,One Year,No,Mailed check,71.8349654704615,2272.76621504925,0
23,Male,0,Yes,Yes,52,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,No,One Year,No,Bank transfer (automatic),93.20538126150689,7587.600791464241,0
24,Female,1,No,Yes,1,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No internet service,No,Yes,Two Year,Yes,Credit card (automatic),103.06692416354834,5856.071354355482,1
25,Male,0,No,Yes,31,No,Yes,Fiber optic,No internet service,No internet service,No,No,Yes,No internet service,Month-to-Month,No,Credit card (automatic),41.011162043492135,7856.556615993538,0
26,Female,0,Yes,No,32,No,Yes,No,Yes,No internet service,No internet service,No,No,No,One Year,No,Credit card (automatic),39.31172995130278,419.8069167073008,1
27,Male,1,Yes,Yes,59,No,No phone service,Fiber optic,No,No,No internet service,Yes,No,Yes,Month-to-Month,Yes,Electronic check,51.57772979325174,3840.452072053202,1
28,Female,0,No,Yes,68,No,Yes,DSL,Yes,No,Yes,Yes,Yes,No internet service,Month-to-Month,Yes,Credit card (automatic),118.35180267265031,2550.4559167028942,0
29,Female,1,No,No,12,No,No,Fiber optic,No,No,No internet service,Yes,Yes,No,One Year,Yes,Electronic check,110.79260607211836,1770.334358415916,0
30,Male,0,Yes,No,42,Yes,No,Fiber optic,No,Yes,No internet service,No,No,Yes,Two Year,Yes,Bank transfer (automatic),85.24278574147651,1269.2586874978315,0
31,Female,1,Yes,Yes,43,Yes,Yes,DSL,No internet service,No,No,No,Yes,Yes,Two Year,Yes,Credit card (automatic),108.69252761609404,2657.71947950268,1
32,Female,1,Yes,Yes,23,No,No,No,Yes,No,Yes,No internet service,No,Yes,Two Year,No,Credit card (automatic),110.16937150667442,2710.592226453934,0
33,Female,1,Yes,No,44,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,Yes,No internet service,One Year,No,Bank transfer (automatic),57.174751789597934,1148.4943579089465,1
34,Male,0,Yes,No,59,Yes,Yes,No,No internet service,No,No,Yes,No internet service,No internet service,One Year,No,Mailed check,109.70903776246755,7859.810289016832,1
35,Male,1,No,Yes,15,No,Yes,DSL,No internet service,Yes,No,No internet service,No internet service,Yes,Month-to-Month,Yes,Electronic check,110.85127685008163,5797.830129664232,0
36,Male,0,Yes,No,2,Yes,No,DSL,Yes,No internet service,Yes,No internet service,No,Yes,Month-to-Month,Yes,Bank transfer (automatic),48.80767617710177,7086.815348688129,1
37,Female,0,Yes,Yes,41,No,Yes,DSL,Yes,No,No,No,No internet service,Yes,One Year,Yes,Electronic check,54.22316134922448,2225.3686605157654,0
38,Male,0,No,Yes,4,No,No,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No,Month-to-Month,Yes,Electronic check,97.22368029267274,3953.5432240119953,0
39,Female,1,No,No,39,No,No,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No,Month-to-Month,Yes,Bank transfer (automatic),104.55236977154362,7677.777459306148,1
40,Male,1,No,Yes,1,No,No,No,Yes,Yes,No internet service,No internet service,Yes,No,Month-to-Month,No,Mailed check,109.24724272850786,5520.585031746919,0
41,Male,0,Yes,Yes,53,No,No,DSL,No,No internet service,No internet service,No internet service,No,No internet service,Two Year,Yes,Credit card (automatic),74.12641960912602,284.48527225939887,1
42,Female,1,Yes,Yes,20,No,Yes,No,Yes,No internet service,No,No,Yes,No,Two Year,Yes,Mailed check,118.31881148028062,1156.5993383293999,0
43,Male,0,Yes,Yes,31,No,No phone service,Fiber optic,Yes,No internet service,No,No internet service,No internet service,Yes,One Year,No,Bank transfer (automatic),101.6543261637582,6974.29157302081,0
44,Male,0,No,Yes,10,Yes,Yes,DSL,Yes,No internet service,No,No,Yes,No internet service,Month-to-Month,Yes,Mailed check,113.29128532326874,7483.461923814426,1
45,Female,0,Yes,Yes,11,No,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Mailed check,49.96813679205557,5117.043926736668,1
46,Male,1,Yes,Yes,10,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,Yes,One Year,Yes,Mailed check,111.30100967294977,3818.1093917154767,1
47,Female,1,No,Yes,63,Yes,No phone service,No,No,Yes,No,No,No,No internet service,One Year,No,Electronic check,72.19499576617426,3449.014007142358,0
48,Male,0,No,No,24,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,No,No,One Year,No,Bank transfer (automatic),30.0904794780023,329.68587438940745,0
49,Female,1,Yes,Yes,13,No,No phone service,No,Yes,No internet service,No internet service,No,No internet service,Yes,Month-to-Month,Yes,Mailed check,81.99850248735471,3584.3108385555975,1
50,Female,1,Yes,No,39,Yes,No,No,No internet service,Yes,Yes,Yes,No internet service,Yes,Month-to-Month,No,Electronic check,49.30592511216699,4286.630495473167,0
51,Male,1,Yes,Yes,34,No,Yes,DSL,Yes,No internet service,No,Yes,No internet service,No,Two Year,Yes,Credit card (automatic),37.24711350374132,5733.4458721137225,1
52,Male,1,Yes,No,24,No,No,No,No,Yes,No internet service,No,Yes,Yes,One Year,No,Mailed check,82.91622161972464,2091.9276556802156,1
53,Male,0,No,Yes,5,Yes,No phone service,DSL,Yes,Yes,No internet service,Yes,No,No internet service,Month-to-Month,Yes,Bank transfer (automatic),31.962663937800734,3866.290834287979,1
54,Female,0,Yes,No,67,No,No,DSL,Yes,No internet service,No internet service,No internet service,No,No internet service,One Year,Yes,Mailed check,47.470204640416256,7323.817901240808,0
55,Female,0,No,Yes,37,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,No internet service,Yes,Two Year,No,Credit card (automatic),31.815487437872818,2953.9061675255502,0
56,Male,1,No,No,11,Yes,No,No,No,Yes,Yes,No internet service,No internet service,Yes,One Year,No,Electronic check,107.97984591262406,4142.531563891858,1
57,Male,0,No,Yes,34,Yes,No phone service,DSL,No internet service,Yes,No,No,No internet service,No internet service,Two Year,Yes,Electronic check,25.833733959617582,4074.9950003029844,0
58,Female,1,No,Yes,10,No,No,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,One Year,No,Credit card (automatic),34.93396558451434,4218.895799462806,1
59,Male,0,No,No,38,No,No,DSL,No,No internet service,Yes,No,Yes,No internet service,One Year,Yes,Mailed check,45.6998773162865,6251.936521116062,0
60,Male,1,No,Yes,37,Yes,No phone service,No,No internet service,No internet service,Yes,No,No,No internet service,Two Year,Yes,Electronic check,119.19622156076755,706.6674717446973,0
61,Female,1,Yes,Yes,14,No,No phone service,No,No,No internet service,No,No,Yes,No internet service,Month-to-Month,No,Electronic check,112.02566115552116,789.9408464539084,1
62,Female,0,No,Yes,9,No,No,No,Yes,No internet service,Yes,No internet service,Yes,No,Month-to-Month,No,Mailed check,64.31028661630216,413.4728613095008,1
63,Male,0,Yes,No,3,Yes,Yes,DSL,No internet service,No,Yes,No internet service,No internet service,No internet service,One Year,Yes,Credit card (automatic),88.0480652230564,5100.698222835721,1
64,Male,1,No,No,49,No,Yes,No,No internet service,No,Yes,No internet service,No internet service,No internet service,One Year,No,Bank transfer (automatic),55.2581802809858,399.5061885577266,0
65,Male,1,No,Yes,1,No,No phone service,DSL,No internet service,No internet service,Yes,No internet service,No internet service,Yes,Two Year,No,Electronic check,73.43906714795706,4521.161400311007,1
66,Female,1,Yes,Yes,71,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,Yes,Yes,One Year,No,Bank transfer (automatic),22.26645556673266,2577.4540851176175,1
67,Male,0,No,No,2,Yes,No phone service,DSL,No,No internet service,No internet service,No internet service,No internet service,Yes,One Year,Yes,Bank transfer (automatic),55.45906029619875,3831.197321164592,0
68,Female,0,No,Yes,39,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two Year,Yes,Credit card (automatic),112.98485191764817,193.33894805460397,1
69,Male,0,No,No,38,No,Yes,DSL,No internet service,No,No internet service,Yes,No,No,Month-to-Month,No,Mailed check,21.097767277338292,3204.3925411596047,1
70,Female,0,No,Yes,9,No,No,DSL,Yes,Yes,Yes,No internet service,Yes,No internet service,Month-to-Month,No,Bank transfer (automatic),30.733235001142873,3846.2516023104718,1
71,Female,1,No,Yes,14,No,No,DSL,Yes,No internet service,No,No internet service,Yes,No internet service,Month-to-Month,No,Electronic check,66.16173702416796,1845.0181970127596,1
72,Male,0,No,No,41,Yes,No,No,No internet service,No,No,No,No internet service,No,Month-to-Month,Yes,Electronic check,67.59530594925567,2187.841941605845,0
73,Male,0,Yes,Yes,21,No,Yes,No,No,No,No,No,No internet service,No internet service,One Year,Yes,Mailed check,31.95440039306972,2430.251526683551,1
74,Male,1,Yes,No,41,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No,No,Two Year,Yes,Credit card (automatic),24.72387425485189,1707.8684535398738,1
75,Male,1,No,No,61,No,No,Fiber optic,No,Yes,No internet service,Yes,Yes,No,One Year,Yes,Mailed check,117.22227794948274,256.63142518837105,1
76,Male,0,Yes,No,41,No,No,DSL,No,No internet service,No,No,No,No internet service,Month-to-Month,Yes,Mailed check,36.925995783920484,3449.2416599750727,1
77,Male,1,No,No,10,No,Yes,No,Yes,No internet service,Yes,No,Yes,No internet service,Month-to-Month,No,Mailed check,22.900874787837914,2431.2455201952184,0
78,Female,0,Yes,No,58,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,Yes,Two Year,No,Mailed check,39.457069185961444,4929.748584331262,0
79,Female,1,Yes,No,8,Yes,No,No,No,No internet service,No,No internet service,Yes,No internet service,Month-to-Month,Yes,Bank transfer (automatic),112.85164764211066,956.3345993517838,0
80,Male,0,No,Yes,63,Yes,No,No,Yes,No,Yes,No,No,Yes,One Year,No,Mailed check,44.65663539871144,315.04100038440583,0
81,Male,1,Yes,Yes,42,No,No phone service,DSL,No internet service,No,No,No,No,No internet service,Two Year,No,Credit card (automatic),31.16904662422461,1104.944407597937,0
82,Male,0,No,No,60,No,Yes,Fiber optic,No internet service,No internet service,No internet service,No,Yes,Yes,One Year,No,Electronic check,49.47436837279258,6921.681533234455,1
83,Male,1,Yes,Yes,1,Yes,Yes,No,No internet service,No,Yes,Yes,No,No internet service,Two Year,Yes,Electronic check,96.49953393045227,3920.078283645986,1
84,Female,0,Yes,Yes,52,No,No,No,No internet service,Yes,No internet service,No,Yes,No,Month-to-Month,Yes,Credit card (automatic),46.62365805853868,6263.416474700512,1
85,Female,0,Yes,No,50,No,No phone service,No,No,No internet service,No,No internet service,No,No internet service,Two Year,Yes,Bank transfer (automatic),39.3108677418211,7310.625830115379,0
86,Female,0,No,Yes,19,No,No,DSL,No internet service,No internet service,No internet service,No internet service,No,No,Two Year,No,Credit card (automatic),35.61003370768974,1112.7655236995079,1
87,Female,0,No,Yes,57,Yes,No phone service,DSL,Yes,No,No,Yes,Yes,No,One Year,Yes,Electronic check,99.37340164542614,1127.1735653831277,0
88,Male,0,Yes,Yes,31,No,Yes,No,No,No,Yes,No,Yes,Yes,One Year,Yes,Electronic check,24.494325821442313,6989.607915292884,0
89,Female,0,Yes,Yes,39,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No,One Year,No,Bank transfer (automatic),95.66337876678193,1448.5748884480472,1
90,Female,1,No,No,28,No,Yes,No,No internet service,No internet service,Yes,No internet service,Yes,No internet service,Month-to-Month,No,Electronic check,36.7028047907816,4397.298388606894,1
91,Female,0,No,No,15,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-Month,Yes,Electronic check,21.899783091216577,2632.1186892198402,1
92,Male,1,Yes,No,10,Yes,No phone service,DSL,Yes,No,No internet service,No,No,No internet service,Month-to-Month,Yes,Electronic check,78.76599408173811,3294.7657923012885,0
93,Female,0,No,Yes,12,No,Yes,No,No,No,Yes,No internet service,Yes,Yes,Month-to-Month,No,Electronic check,44.64335838588608,2102.670547968247,1
94,Male,1,No,Yes,22,No,No phone service,DSL,No internet service,No internet service,Yes,Yes,No,No internet service,One Year,No,Electronic check,99.10427928716605,1733.5444632538008,1
95,Female,1,No,Yes,6,No,No phone service,No,Yes,No,Yes,Yes,No internet service,Yes,One Year,Yes,Electronic check,53.68982032677156,371.36622629523674,1
96,Male,0,Yes,No,66,Yes,No phone service,DSL,No,No,No internet service,No,No internet service,No,One Year,Yes,Credit card (automatic),22.26517096869211,3165.043893266606,0
97,Male,1,No,No,61,No,No phone service,No,No internet service,No,No,Yes,No,Yes,One Year,No,Electronic check,68.4359084924578,5788.563582676426,1
98,Female,1,No,No,8,No,No phone service,Fiber optic,Yes,No,Yes,No internet service,Yes,No,Two Year,Yes,Mailed check,109.49645477498642,1510.3336858693879,0
99,Male,0,Yes,Yes,49,No,No phone service,No,Yes,Yes,Yes,No internet service,Yes,No,One Year,Yes,Electronic check,35.16494035472091,7776.92063534297,0
100,Female,1,No,No,25,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,No internet service,No,One Year,Yes,Electronic check,33.82533344723509,2414.203036028616,0
101,Male,1,Yes,Yes,36,No,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,No,Month-to-Month,No,Credit card (automatic),65.52430964688874,223.3593807452135,0
102,Male,1,No,No,2,No,No,Fiber optic,Yes,No,No,Yes,No,Yes,One Year,No,Mailed check,101.10259719497202,2114.670074362226,0
103,Male,0,No,Yes,24,No,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,Month-to-Month,Yes,Electronic check,46.50791725275812,569.4019547481755,1
104,Male,0,No,No,5,No,Yes,Fiber optic,No,No,No internet service,Yes,No internet service,Yes,One Year,No,Credit card (automatic),47.497963510452266,5557.590054201294,0
105,Male,0,Yes,No,11,No,Yes,DSL,No,No,No internet service,Yes,No,Yes,Month-to-Month,Yes,Bank transfer (automatic),28.652118308136814,3835.227874029317,1
106,Male,1,Yes,No,5,No,No,No,No internet service,Yes,Yes,No internet service,Yes,Yes,Two Year,Yes,Mailed check,72.9955462366188,2283.5411864838625,1
107,Male,0,No,Yes,39,No,No,DSL,Yes,No internet service,No internet service,No internet service,No internet service,No,One Year,Yes,Credit card (automatic),82.87147781361747,1177.1293457262686,1
108,Female,0,Yes,Yes,9,Yes,No phone service,DSL,Yes,No,No internet service,Yes,Yes,Yes,Month-to-Month,No,Electronic check,109.6330389204351,382.17323301653755,0
109,Male,0,Yes,No,1,No,No,DSL,No internet service,No,No,No,Yes,No internet service,One Year,No,Electronic check,92.50564738875549,7756.014692943206,0
110,Male,0,Yes,Yes,62,No,No phone service,Fiber optic,No internet service,Yes,No,Yes,No internet service,No internet service,Month-to-Month,No,Bank transfer (automatic),108.5424796168359,2058.905551557981,1
111,Male,0,No,Yes,38,Yes,No,DSL,Yes,No,Yes,No,No internet service,No internet service,One Year,No,Electronic check,35.0550498542877,2523.521397798428,1
112,Female,1,Yes,Yes,21,Yes,No,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,Month-to-Month,No,Electronic check,107.83078310249593,7267.772595210454,1
113,Male,1,No,Yes,26,Yes,No phone service,No,No internet service,No internet service,No,No internet service,No internet service,No internet service,Two Year,No,Credit card (automatic),20.84323668487101,1710.518763231464,0
114,Male,0,Yes,No,71,Yes,Yes,DSL,No internet service,Yes,No,No,No,No internet service,One Year,No,Mailed check,44.52320648618691,6671.961798364713,0
115,Male,0,No,Yes,32,No,No,DSL,No internet service,No,No internet service,Yes,Yes,No internet service,Two Year,Yes,Credit card (automatic),76.84772108527144,6777.715701362426,1
116,Female,0,Yes,No,62,No,Yes,DSL,Yes,No internet service,No internet service,No,Yes,No internet service,Two Year,Yes,Mailed check,81.19455966744276,3240.927567685575,1
117,Female,0,No,Yes,54,Yes,Yes,DSL,No,No,No,No,No internet service,Yes,Two Year,No,Mailed check,72.93703718559635,7588.34122047907,1
118,Female,1,Yes,No,70,No,Yes,No,No internet service,No,No,No,No,Yes,Month-to-Month,No,Mailed check,90.8534109866416,698.8166838529171,1
119,Female,0,No,No,61,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,Yes,No,No internet service,Month-to-Month,No,Credit card (automatic),52.62588731294331,7765.2445515166655,0
120,Male,0,Yes,No,37,Yes,Yes,DSL,No,Yes,No internet service,Yes,No,No internet service,Month-to-Month,Yes,Mailed check,22.725755716658227,6880.6625441663655,0
121,Male,1,No,No,10,No,No,No,Yes,Yes,Yes,No internet service,Yes,No,Two Year,No,Bank transfer (automatic),118.68181023635026,678.3319445765493,1
122,Male,0,No,No,35,Yes,No phone service,No,Yes,No,Yes,Yes,No,No,Month-to-Month,No,Electronic check,26.198539417206828,519.2212109321858,1
123,Male,1,No,Yes,67,Yes,No phone service,Fiber optic,No internet service,No,Yes,Yes,No,Yes,One Year,Yes,Electronic check,80.04797895906512,7551.34507820098,1
124,Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No internet service,No,Yes,One Year,No,Credit card (automatic),86.83526044464698,7980.193431362696,0
125,Male,0,Yes,Yes,11,No,Yes,Fiber optic,Yes,Yes,No,No,No internet service,Yes,Two Year,Yes,Bank transfer (automatic),84.91213411594948,3997.724224139047,0
126,Male,0,No,Yes,39,Yes,Yes,No,Yes,No internet service,No internet service,Yes,Yes,Yes,Month-to-Month,No,Electronic check,27.411039456587666,7206.1829946003645,1
127,Male,1,Yes,Yes,34,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,Yes,Month-to-Month,Yes,Credit card (automatic),109.71197237250782,2636.861588258686,0
128,Female,0,Yes,No,33,No,No phone service,DSL,No internet service,No,Yes,No,No,No,Two Year,Yes,Credit card (automatic),28.596734651784843,5385.207715285216,1
129,Male,0,No,No,51,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-Month,No,Electronic check,69.00328206832653,6594.582821812361,0
130,Male,1,Yes,No,5,Yes,Yes,DSL,No,Yes,No internet service,Yes,Yes,Yes,Two Year,No,Bank transfer (automatic),111.1014950310854,1397.7848182949667,0
131,Female,0,Yes,Yes,49,Yes,No,No,No,Yes,Yes,Yes,No,No,One Year,Yes,Credit card (automatic),59.150047485773555,1733.2020669138747,0
132,Male,0,Yes,No,63,No,No,Fiber optic,No,No internet service,No,No internet service,No internet service,Yes,Two Year,No,Mailed check,119.50742095556394,2356.3983972800615,1
133,Female,0,No,Yes,7,No,No phone service,No,No,Yes,No internet service,No internet service,No internet service,No,Month-to-Month,Yes,Electronic check,54.67826570261931,4525.272707544617,1
134,Male,1,No,No,20,No,No phone service,Fiber optic,No,No,No internet service,Yes,No internet service,Yes,Month-to-Month,No,Mailed check,72.42455970180757,6401.0306806618155,1
135,Female,0,Yes,Yes,4,No,No phone service,DSL,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,Yes,Credit card (automatic),60.53315549420235,386.25541427808815,1
136,Male,1,No,Yes,20,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-Month,No,Bank transfer (automatic),95.02323962846023,6881.586250788611,0
137,Female,1,No,No,20,Yes,No,DSL,No,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-Month,Yes,Mailed check,42.88138812137951,2733.7154176827808,1
138,Male,1,Yes,Yes,38,Yes,Yes,No,No,No internet service,No,Yes,No internet service,No,Two Year,Yes,Electronic check,118.8139452873751,7609.207172802303,1
139,Male,1,No,No,13,No,Yes,No,Yes,No,Yes,No internet service,Yes,No,Two Year,No,Mailed check,64.46875338275436,935.1842334909368,1
140,Female,1,No,No,64,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Two Year,Yes,Bank transfer (automatic),34.4649116405434,2746.8782509365815,1
141,Female,1,No,Yes,17,No,No,DSL,No,No,Yes,No internet service,No internet service,No,One Year,No,Mailed check,93.4006797956136,1213.4341636513986,0
142,Male,1,Yes,Yes,67,No,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-Month,Yes,Mailed check,66.84940294032552,2824.0392667927854,1
143,Female,0,No,Yes,48,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No,One Year,Yes,Bank transfer (automatic),107.85937609567299,6956.276735693399,1
144,Female,0,Yes,Yes,65,No,No phone service,No,No internet service,Yes,Yes,Yes,Yes,No,One Year,Yes,Electronic check,89.26987674455407,5553.0070946761325,0
145,Female,1,Yes,No,52,No,Yes,No,No internet service,Yes,Yes,No,No internet service,Yes,Two Year,Yes,Credit card (automatic),85.32001530173119,7102.147903706774,1
146,Male,0,No,No,30,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,Yes,No internet service,Two Year,No,Mailed check,47.05096261432212,4332.020674292015,0
147,Male,1,No,Yes,16,No,Yes,No,No internet service,No internet service,No,No,No,No internet service,Month-to-Month,No,Bank transfer (automatic),115.41031567510733,298.24680983369933,1
148,Male,0,No,No,52,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No,No internet service,Month-to-Month,No,Electronic check,112.92613820238216,335.2214722875493,0
149,Male,0,Yes,Yes,54,No,No,Fiber optic,No internet service,No,No,No,No,No,Two Year,No,Credit card (automatic),106.61046290962771,4428.183600265762,1
150,Male,1,Yes,Yes,9,Yes,No,No,No,No internet service,No internet service,No internet service,Yes,No internet service,One Year,Yes,Bank transfer (automatic),89.65931770492294,460.44462088983846,0
151,Female,1,Yes,No,41,Yes,No,DSL,No,No,No internet service,Yes,No,No internet service,One Year,Yes,Mailed check,33.01876892400471,1169.8218027956893,0
152,Female,0,Yes,Yes,32,Yes,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No,Two Year,Yes,Credit card (automatic),37.41396099413222,948.7294446568699,1
153,Male,0,No,No,64,No,No,DSL,Yes,No,No internet service,Yes,No,No internet service,One Year,No,Credit card (automatic),41.07680217377761,372.4884499349687,1
154,Male,1,No,No,32,No,No phone service,No,No internet service,Yes,No,Yes,No,No,Month-to-Month,No,Bank transfer (automatic),61.83314789313407,1501.1788019129651,0
155,Female,1,Yes,No,27,Yes,No,DSL,Yes,Yes,No internet service,Yes,Yes,No,One Year,No,Electronic check,103.16602769087878,5890.907661571711,0
156,Male,1,No,No,2,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No,No,Two Year,No,Mailed check,96.46451687581722,6144.457968209969,1
157,Male,1,Yes,Yes,48,No,No phone service,DSL,No internet service,No internet service,No,Yes,Yes,No,One Year,No,Bank transfer (automatic),88.76097175617511,6114.418648121809,0
158,Male,1,Yes,Yes,42,No,Yes,DSL,No,Yes,Yes,Yes,Yes,No internet service,One Year,Yes,Electronic check,20.8728463934914,4104.057209264316,1
159,Female,1,No,Yes,64,No,No phone service,Fiber optic,Yes,No internet service,No,No,No internet service,No internet service,Month-to-Month,Yes,Electronic check,86.72586636121667,3803.555516317499,1
160,Female,0,No,Yes,66,Yes,Yes,DSL,Yes,Yes,Yes,No,No internet service,No internet service,One Year,Yes,Mailed check,66.72718297288871,4321.473477745507,0
161,Female,0,Yes,No,60,No,No phone service,No,No,No,No internet service,No,No,No,One Year,Yes,Electronic check,92.46117679451856,4633.777647010191,1
162,Female,0,Yes,Yes,57,No,No,No,No,No,No,No,No internet service,No,Month-to-Month,No,Mailed check,48.97151029050501,4204.573838600136,0
163,Male,0,Yes,Yes,53,Yes,No,No,No,Yes,No,No internet service,No,No internet service,One Year,Yes,Bank transfer (automatic),75.40150400042776,5577.311198602891,1
164,Male,0,Yes,No,56,No,No phone service,DSL,Yes,No internet service,No internet service,No,No,No internet service,One Year,Yes,Mailed check,104.61162442671922,3215.9082631797737,1
165,Female,1,Yes,No,42,Yes,Yes,No,No,No internet service,No internet service,Yes,No,No,Two Year,Yes,Bank transfer (automatic),61.310291421151234,3963.362568483868,1
166,Female,0,No,No,5,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No internet service,Yes,Two Year,No,Credit card (automatic),42.5738856360269,6111.807437010522,1
